year,AverageTemperatureCelsius
1832,23.173
1833,23.543
1834,22.296000000000003
1835,23.802
1836,23.267000000000003
1837,23.31
1838,21.333000000000002
1839,23.139
1840,23.596999999999998
1841,22.545
1842,23.218
1843,24.154
1844,23.359
1845,23.139
1846,23.913999999999998
1847,21.904444444444444
1848,23.443333333333346
1849,23.65411111111111
1850,22.174000000000003
1851,23.789
1852,23.429000000000002
1853,23.233
1854,22.46
1855,24.049000000000003
1856,23.016
1857,22.858000000000004
1858,23.913999999999998
1859,21.335000000000004
1860,23.407
1861,22.675
1862,22.501
1863,23.003
1864,22.481
1865,22.911
1866,23.427
1867,22.744
1868,24.127000000000002
1869,23.665
1870,23.17
1871,23.359
1872,23.410000000000004
1873,24.108000000000004
1874,22.102000000000004
1875,22.109
1876,22.604000000000003
1877,23.72
1878,22.875
1879,22.174000000000003
1880,22.205
1881,22.326000000000004
1882,23.01499999999999
1883,22.465
1884,22.663999999999998
1885,23.241
1886,24.268
1887,22.648999999999997
1888,23.105
1889,24.412
1890,22.872000000000003
1891,23.166999999999998
1892,24.298000000000002
1893,23.705
1894,24.958000000000006
1895,22.543
1896,22.249
1897,23.278999999999996
1898,24.291
1899,23.633000000000003
1900,23.791000000000004
1901,22.176
1902,22.772
1903,22.538
1904,22.245
1905,21.975000000000005
1906,23.369
1907,23.056
1908,22.141000000000005
1909,23.124
1910,23.316000000000003
1911,23.283000000000005
1912,23.348
1913,22.150000000000002
1914,24.273000000000003
1915,23.664000000000005
1916,23.634000000000004
1917,23.993
1918,24.099000000000004
1919,23.947000000000003
1920,24.154
1921,23.247
1922,23.226
1923,23.558
1924,22.043999999999997
1925,23.863000000000003
1926,24.194
1927,24.039
1928,23.247
1929,24.397
1930,23.755000000000003
1931,24.075
1932,24.281
1933,23.406
1934,24.201999999999998
1935,23.415999999999997
1936,23.604999999999986
1937,22.934
1938,23.247
1939,24.527
1940,23.303000000000004
1941,23.713000000000005
1942,23.996999999999996
1943,23.813
1944,23.394000000000002
1945,24.194
1946,22.784000000000002
1947,23.542000000000005
1948,24.558000000000003
1949,23.608
1950,22.799000000000003
1951,23.567999999999998
1952,24.372999999999998
1953,24.693
1954,24.013
1955,24.392999999999997
1956,23.478000000000005
1957,24.67999999999999
1958,24.616999999999997
1959,23.422
1960,23.973
1961,24.347000000000005
1962,23.026
1963,23.966000000000005
1964,23.741000000000003
1965,23.771000000000004
1966,23.670000000000012
1967,23.223000000000003
1968,23.887
1969,23.08
1970,23.870000000000015
1971,23.973
1972,23.376000000000005
1973,24.13
1974,24.297
1975,22.982
1976,23.889999999999997
1977,24.123000000000005
1978,24.041999999999998
1979,23.049000000000003
1980,23.245000000000015
1981,23.707000000000004
1982,23.238000000000003
1983,24.518000000000004
1984,25.098000000000003
1985,23.644000000000002
1986,25.535999999999998
1987,23.807
1988,24.228
1989,23.921000000000003
1990,24.261
1991,23.121000000000002
1992,24.187000000000005
1993,24.413
1994,23.465
1995,24.382000000000005
1996,23.936000000000003
1997,25.179
1998,23.303000000000004
1999,23.695000000000014
2000,24.216000000000005
2001,24.585
2002,24.005000000000003
2003,24.662
2004,23.889000000000006
2005,24.786
2006,25.041000000000004
2007,24.438
2008,24.054000000000002
2009,22.91
2010,24.374
2011,25.493000000000002
2012,24.11
2013,23.434000000000005
